
 .d8888b.                        888                  d88888888888
d88P  Y88b                       888                 d88888  888  
888    888                       888                d88P888  888  
888       888d888888  88888888b. 888888 .d88b.     d88P 888  888  
888       888P"  888  888888 "88b888   d88""88b   d88P  888  888  
888    888888    888  888888  888888   888  888  d88P   888  888  
Y88b  d88P888    Y88b 888888 d88PY88b. Y88..88P d8888888888  888  
 "Y8888P" 888     "Y8888888888P"  "Y888 "Y88P" d88P     8888888888
                      888888                                      
                 Y8b d88P888                                      
                  "Y88P" 888                              by UmeW

             ***** Market Data Saver ******               

2017-12-18 17:16:00 : 0.00206, low: 0.00206, high: 0.00206, r: 100.0, vol:1
2017-12-18 17:16:00 : 0.01765142857142857, low: 0.01761, high: 0.01769, r: 0.0, vol:55
2017-12-18 17:17:00 : 18535.512027491408, low: 18515, high: 18554, r: 25.085910652920962, vol:1072537
2017-12-18 17:15:00 : 0.0402, low: 0.0402, high: 0.0402, r: 0.0, vol:3
2017-12-18 17:17:00 : 18811.1, low: 18798, high: 18828, r: 0.0, vol:18848
2017-12-18 17:17:00 : 0.0020675, low: 0.00206, high: 0.002075, r: 100.0, vol:26
2017-12-18 17:17:00 : 20631.0625, low: 20618, high: 20672.5, r: 25.0, vol:11755
2017-12-18 17:16:00 : 0.12230476190476189, low: 0.1215, high: 0.1233, r: 14.285714285714286, vol:83
2017-12-18 17:17:00 : 0.01766, low: 0.01766, high: 0.01766, r: 100.0, vol:1
2017-12-18 17:18:00 : 18505.008278145695, low: 18500, high: 18517.5, r: 36.09271523178808, vol:810379
2017-12-18 17:18:00 : 18774.067567567567, low: 18754, high: 18794, r: 29.72972972972973, vol:61215
2017-12-18 17:18:00 : 20615.0, low: 20615, high: 20615, r: 0.0, vol:13300
2017-12-18 17:18:00 : 0.017657499999999996, low: 0.01765, high: 0.01766, r: 100.0, vol:30
2017-12-18 17:18:00 : 0.0020670000000000003, low: 0.002059, high: 0.002075, r: 50.0, vol:4
2017-12-18 17:18:00 : 0.12293333333333334, low: 0.1227, high: 0.1232, r: 33.333333333333336, vol:10
2017-12-18 17:18:00 : 0.04035, low: 0.04031, high: 0.04038, r: 100.0, vol:94
2017-12-18 17:19:00 : 18516.030726256984, low: 18495, high: 18527.5, r: 51.95530726256983, vol:1082674
2017-12-18 17:19:00 : 0.04039, low: 0.04039, high: 0.04039, r: 100.0, vol:2
2017-12-18 17:19:00 : 18776.384615384617, low: 18776, high: 18776.5, r: 23.076923076923077, vol:38745
2017-12-18 17:19:00 : 0.12254999999999999, low: 0.1224, high: 0.1227, r: 0.0, vol:8
2017-12-18 17:16:00 : 0.019101, low: 0.019101, high: 0.019101, r: 0.0, vol:2
2017-12-18 17:19:00 : 0.002082, low: 0.002082, high: 0.002082, r: 0.0, vol:127
2017-12-18 17:19:00 : 20609.375, low: 20604, high: 20615, r: 0.0, vol:2000
2017-12-18 17:20:00 : 18542.89033457249, low: 18517, high: 18564.5, r: 90.70631970260223, vol:1319452
2017-12-18 17:19:00 : 0.01767, low: 0.01767, high: 0.01767, r: 100.0, vol:6
2017-12-18 17:20:00 : 0.0404025, low: 0.04039, high: 0.04042, r: 100.0, vol:42
2017-12-18 17:20:00 : 18795.0641025641, low: 18759, high: 18832.5, r: 69.23076923076923, vol:76709
2017-12-18 17:20:00 : 0.12202500000000001, low: 0.1219, high: 0.1222, r: 0.0, vol:16
2017-12-18 17:20:00 : 20620.125, low: 20617.5, high: 20627, r: 100.0, vol:3015
2017-12-18 17:20:00 : 0.00209, low: 0.00209, high: 0.00209, r: 100.0, vol:1
2017-12-18 17:17:00 : 0.059324, low: 0.059324, high: 0.059324, r: 100.0, vol:1
2017-12-18 17:21:00 : 18560.522321428572, low: 18540, high: 18570, r: 50.0, vol:929345
2017-12-18 17:21:00 : 20604.0, low: 20604, high: 20604, r: 0.0, vol:200
2017-12-18 17:21:00 : 18799.61111111111, low: 18790, high: 18813, r: 44.44444444444444, vol:17700
2017-12-18 17:21:00 : 0.12351111111111113, low: 0.1223, high: 0.125, r: 77.77777777777777, vol:46
2017-12-18 17:21:00 : 0.017584, low: 0.01758, high: 0.0176, r: 0.0, vol:96
2017-12-18 17:17:00 : 0.029999, low: 0.029999, high: 0.029999, r: 100.0, vol:2
2017-12-18 17:21:00 : 0.059173, low: 0.059173, high: 0.059173, r: 0.0, vol:1
2017-12-18 17:22:00 : 18577.04501607717, low: 18543.5, high: 18593.5, r: 86.81672025723472, vol:2026645
2017-12-18 17:22:00 : 18809.5, low: 18798, high: 18831.5, r: 33.333333333333336, vol:1060
2017-12-18 17:20:00 : 0.019107, low: 0.019107, high: 0.019107, r: 100.0, vol:25
2017-12-18 17:22:00 : 0.12490000000000001, low: 0.124, high: 0.1258, r: 71.42857142857143, vol:15
2017-12-18 17:22:00 : 0.05921, low: 0.05921, high: 0.05921, r: 0.0, vol:1
2017-12-18 17:22:00 : 20648.625, low: 20626, high: 20672.5, r: 100.0, vol:5450
2017-12-18 17:21:00 : 0.040445, low: 0.04037, high: 0.04052, r: 50.0, vol:3
